Time,Open,Close,High,Low,Volume
2013-12-27,737000.0,755000.0,755000.0,737000.0,3.78
2013-12-28,750000.0,750000.0,750000.0,750000.0,12.0
2013-12-29,750000.0,739000.0,750000.0,728000.0,19.058
2013-12-30,740000.0,768000.0,772000.0,740000.0,9.488973
2013-12-31,768000.0,768000.0,800000.0,763000.0,18.65035033
2014-01-01,768000.0,777000.0,795000.0,765000.0,65.38033381
2014-01-02,776000.0,778000.0,788000.0,773000.0,83.20397752
2014-01-03,778000.0,834000.0,840000.0,774000.0,124.33029182
2014-01-04,831000.0,846000.0,846000.0,819000.0,107.75704665
2014-01-05,846000.0,925000.0,925000.0,845000.0,140.70979378
2014-01-06,928000.0,1010000.0,1050000.0,920000.0,222.72262804
2014-01-07,1001000.0,935000.0,1026000.0,900000.0,169.05011477
2014-01-08,935000.0,897000.0,960000.0,825000.0,194.55961145
2014-01-09,880000.0,865000.0,909000.0,860000.0,140.51522769
2014-01-10,875000.0,890000.0,905000.0,862000.0,126.60366906
2014-01-11,889000.0,932000.0,950000.0,880000.0,144.63517814
2014-01-12,935000.0,910000.0,952000.0,904000.0,129.84153237
2014-01-13,920000.0,881000.0,925000.0,872000.0,105.8332088
2014-01-14,877000.0,874000.0,905000.0,872000.0,119.62287814
2014-01-15,889000.0,905000.0,918000.0,875000.0,138.06056544
2014-01-16,895000.0,910000.0,940000.0,892000.0,216.14782104
2014-01-17,904000.0,885000.0,913000.0,872000.0,201.18492756
2014-01-18,888000.0,885000.0,906000.0,868000.0,133.53712889
2014-01-19,887000.0,893000.0,899000.0,870000.0,147.45643678
2014-01-20,893000.0,898000.0,914000.0,890000.0,198.08278124
2014-01-21,898000.0,899000.0,906000.0,891000.0,204.65155445
2014-01-22,895000.0,892000.0,904000.0,891000.0,228.7038422
2014-01-23,895000.0,888000.0,898000.0,886000.0,223.74829689
2014-01-24,891000.0,870000.0,891000.0,848000.0,358.41597676
2014-01-25,864000.0,870000.0,874000.0,858000.0,192.06581564
2014-01-26,867000.0,892000.0,894000.0,866000.0,267.95278315
2014-01-27,893000.0,886000.0,903000.0,879000.0,285.27768931
2014-01-28,880000.0,879000.0,885000.0,848000.0,244.29252255
2014-01-29,871000.0,864000.0,876000.0,857000.0,130.50348362
2014-01-30,865000.0,874000.0,874000.0,863000.0,121.4175575
2014-01-31,874000.0,883000.0,886000.0,874000.0,110.71834803
2014-02-01,882000.0,899000.0,899000.0,879000.0,159.01831297
2014-02-02,900000.0,902000.0,907000.0,887000.0,208.17334755
2014-02-03,902000.0,896000.0,904000.0,890000.0,209.50152278
2014-02-04,897000.0,891000.0,897000.0,882000.0,141.13545967
2014-02-05,892000.0,890000.0,892000.0,886000.0,119.86970917
2014-02-06,888000.0,866000.0,889000.0,857000.0,230.93727352
2014-02-07,866000.0,824000.0,869000.0,751000.0,582.19373117
2014-02-08,824000.0,821000.0,874000.0,790000.0,266.73130187
2014-02-09,821000.0,805000.0,821000.0,782000.0,211.85764079
